service_request_id,service_request_type,status,requested_datetime,closed_datetime,address,latitude,longitude
BA311-2024-0108-0001,Pothole,Closed,2024-01-08T09:42:00-08:00,2024-01-12T15:20:00-08:00,Market St & 9th St SF,37.776510,-122.414871
BA311-2024-0216-0002,Pothole,Open,2024-02-16T11:09:00-08:00,,Mission St & 16th St SF,37.765145,-122.419662
BA311-2024-0304-0003,Pothole,Closed,2024-03-04T08:31:00-08:00,2024-03-10T13:11:00-08:00,Geary Blvd & Masonic Ave SF,37.781383,-122.447623
BA311-2025-0117-0004,Pothole,Open,2025-01-17T07:28:00-08:00,,Van Ness Ave & Eddy St SF,37.783834,-122.421388
BA311-2026-0211-0005,Pothole,Open,2026-02-11T10:13:00-08:00,,Market St & 9th St SF,37.776882,-122.414487
BA311-2024-0120-0010,Pothole,Closed,2024-01-20T12:02:00-08:00,2024-01-25T16:27:00-08:00,Broadway & Grand Ave Oakland,37.812343,-122.267866
BA311-2024-0311-0011,Pothole,Open,2024-03-11T14:22:00-07:00,,International Blvd & 42nd Ave Oakland,37.772708,-122.215003
BA311-2025-0215-0012,Pothole,Closed,2025-02-15T09:38:00-08:00,2025-02-21T13:08:00-08:00,MacArthur Blvd & High St Oakland,37.790116,-122.215954
BA311-2026-0118-0013,Pothole,Open,2026-01-18T08:18:00-08:00,,Broadway & 20th St Oakland,37.809192,-122.269846
BA311-2026-0322-0014,Pothole,Open,2026-03-22T15:44:00-07:00,,Telegraph Ave & 27th St Oakland,37.817622,-122.266328
BA311-2024-0124-0020,Pothole,Closed,2024-01-24T13:51:00-08:00,2024-01-30T09:34:00-08:00,University Ave & San Pablo Ave Berkeley,37.869799,-122.293331
BA311-2025-0305-0021,Pothole,Open,2025-03-05T10:15:00-08:00,,Shattuck Ave & Ashby Ave Berkeley,37.854938,-122.266936
BA311-2026-0203-0022,Pothole,Open,2026-02-03T11:17:00-08:00,,University Ave & Oxford St Berkeley,37.871873,-122.266885
BA311-2024-0208-0030,Pothole,Closed,2024-02-08T15:42:00-08:00,2024-02-12T09:12:00-08:00,John Daly Blvd & Mission St Daly City,37.687953,-122.470237
BA311-2026-0114-0031,Pothole,Open,2026-01-14T07:55:00-08:00,,Hillside Blvd & East Market St Daly City,37.690214,-122.464650
BA311-2024-0319-0040,Pothole,Closed,2024-03-19T16:14:00-07:00,2024-03-22T10:45:00-07:00,El Camino Real & 3rd Ave San Mateo,37.563512,-122.325561
BA311-2025-0122-0041,Pothole,Open,2025-01-22T17:42:00-08:00,,Hillsdale Blvd & El Camino Real San Mateo,37.536156,-122.299203
BA311-2026-0209-0042,Pothole,Open,2026-02-09T12:11:00-08:00,,El Camino Real & 3rd Ave San Mateo,37.563830,-122.325119
BA311-2024-0226-0050,Pothole,Closed,2024-02-26T10:04:00-08:00,2024-03-01T11:20:00-08:00,El Camino Real & Woodside Rd Redwood City,37.482127,-122.228718
BA311-2025-0317-0051,Pothole,Open,2025-03-17T12:11:00-07:00,,Broadway & Main St Redwood City,37.486509,-122.229511
BA311-2026-0115-0060,Pothole,Closed,2026-01-15T15:44:00-08:00,2026-01-20T12:00:00-08:00,University Ave & Middlefield Rd Palo Alto,37.444324,-122.149811
BA311-2026-0318-0061,Pothole,Open,2026-03-18T09:51:00-07:00,,El Camino Real & Page Mill Rd Palo Alto,37.421919,-122.141925
BA311-2024-0109-0070,Pothole,Open,2024-01-09T07:28:00-08:00,,Castro St & El Camino Real Mountain View,37.386545,-122.083821
BA311-2025-0219-0071,Pothole,Closed,2025-02-19T14:35:00-08:00,2025-02-23T09:30:00-08:00,Shoreline Blvd & Middlefield Rd Mountain View,37.401120,-122.080009
BA311-2026-0205-0072,Pothole,Open,2026-02-05T10:13:00-08:00,,Castro St & California St Mountain View,37.389785,-122.081901
BA311-2024-0221-0080,Pothole,Closed,2024-02-21T14:35:00-08:00,2024-02-27T09:30:00-08:00,Sunnyvale Ave & El Camino Real Sunnyvale,37.369701,-122.035984
BA311-2025-0316-0081,Pothole,Open,2025-03-16T17:05:00-07:00,,Mathilda Ave & Maude Ave Sunnyvale,37.391180,-122.032524
BA311-2026-0116-0082,Pothole,Open,2026-01-16T17:05:00-08:00,,Sunnyvale Ave & Washington Ave Sunnyvale,37.374257,-122.030911
BA311-2024-0312-0090,Pothole,Closed,2024-03-12T08:31:00-07:00,2024-03-18T13:11:00-07:00,El Camino Real & Lafayette St Santa Clara,37.353197,-121.941311
BA311-2025-0127-0091,Pothole,Open,2025-01-27T07:28:00-08:00,,Monroe St & Homestead Rd Santa Clara,37.343584,-121.982703
SJ311-2024-0124-1001,Pothole,Closed,2024-01-24T09:42:00-08:00,2024-01-28T15:20:00-08:00,S 2nd St & E San Carlos St San Jose,37.333721,-121.887219
SJ311-2024-0217-1015,Pothole,Open,2024-02-17T11:09:00-08:00,,S 3rd St & E San Fernando St San Jose,37.334901,-121.884804
SJ311-2024-0312-1188,Pothole,Closed,2024-03-12T08:31:00-07:00,2024-03-18T13:11:00-07:00,The Alameda & Race St San Jose,37.332725,-121.912992
SJ311-2025-0109-1420,Pothole,Open,2025-01-09T07:28:00-08:00,,N 10th St & Jackson St San Jose,37.353241,-121.887351
SJ311-2025-0221-1551,Pothole,Closed,2025-02-21T14:35:00-08:00,2025-02-27T09:30:00-08:00,Berryessa Rd & Lundy Ave San Jose,37.386297,-121.876719
SJ311-2026-0205-2013,Pothole,Open,2026-02-05T10:13:00-08:00,,S 2nd St & E San Carlos St San Jose,37.333981,-121.887102
SJ311-2026-0419-2204,Pothole,Open,2026-04-19T13:11:00-07:00,,Berryessa Rd & Lundy Ave San Jose,37.386490,-121.876210
BA311-2024-0125-0110,Pothole,Closed,2024-01-25T16:18:00-08:00,2024-01-29T12:10:00-08:00,Fremont Blvd & Mowry Ave Fremont,37.548076,-121.988571
BA311-2025-0309-0111,Pothole,Open,2025-03-09T09:28:00-07:00,,Mission Blvd & Walnut Ave Fremont,37.559879,-121.974415
BA311-2026-0217-0112,Pothole,Open,2026-02-17T16:28:00-08:00,,Fremont Blvd & Mowry Ave Fremont,37.548421,-121.988153
BA311-2024-0214-0120,Pothole,Closed,2024-02-14T09:38:00-08:00,2024-02-20T13:08:00-08:00,Mission Blvd & A St Hayward,37.670379,-122.086381
BA311-2025-0111-0121,Pothole,Open,2025-01-11T10:51:00-08:00,,Foothill Blvd & City Center Dr Hayward,37.669824,-122.081745
BA311-2026-0313-0122,Pothole,Closed,2026-03-13T12:35:00-07:00,2026-03-18T09:30:00-07:00,Mission Blvd & Jackson St Hayward,37.649794,-122.096568
BA311-2024-0328-0130,Pothole,Closed,2024-03-28T16:14:00-07:00,2024-04-02T10:45:00-07:00,Calaveras Blvd & Main St Milpitas,37.432010,-121.904132
BA311-2025-0217-0131,Pothole,Open,2025-02-17T11:09:00-08:00,,Great Mall Pkwy & Montague Expy Milpitas,37.415260,-121.897917
BA311-2026-0419-0132,Pothole,Open,2026-04-19T11:17:00-07:00,,Calaveras Blvd & Main St Milpitas,37.431674,-121.903810
