sample_id,source_region,latitude,longitude,rain_30d_mm,rain_90d_mm,heavy_rain_days_30d,impervious_surface_pct,slope_mean_pct,flow_accumulation_index,topographic_wetness_index,distance_to_storm_drain_m,storm_drain_density_250m,flood_311_count_24m,pavement_condition_index,days_since_last_resurfaced,traffic_aadt,truck_route_score,road_class_score
sf-market,San Francisco Civic Center,37.7765,-122.4149,92,246,6,94,1.1,0.82,10.8,140,7,6,74,820,31500,0.58,0.82
sf-mission,San Francisco Mission,37.7651,-122.4197,88,232,6,91,1.4,0.76,10.1,170,6,5,71,1180,26800,0.46,0.78
sf-richmond,San Francisco Richmond,37.7814,-122.4476,103,274,7,82,2.2,0.64,8.4,230,5,3,77,930,21900,0.28,0.62
sf-bayview,San Francisco Bayview,37.7274,-122.3844,71,201,4,86,0.8,0.88,11.3,260,4,8,65,1640,18800,0.54,0.68
oak-broadway,Oakland Downtown,37.8123,-122.2679,86,231,6,93,1.0,0.85,10.7,190,6,7,58,1770,30400,0.66,0.85
oak-international,Oakland Eastlake,37.7727,-122.2150,79,214,5,89,0.7,0.9,11.6,310,3,9,54,2480,24300,0.61,0.72
oak-macarthur,Oakland Laurel,37.7901,-122.2160,82,221,5,84,2.9,0.62,7.9,260,4,5,59,2100,22700,0.52,0.7
berkeley-university,Berkeley West,37.8698,-122.2933,99,269,7,88,1.2,0.8,10.5,210,5,5,63,1470,20500,0.32,0.66
berkeley-shattuck,Berkeley Southside,37.8549,-122.2669,105,281,7,86,2.4,0.58,8.1,190,6,4,68,980,19600,0.22,0.62
daly-city,Daly City,37.6880,-122.4702,112,302,8,78,3.2,0.55,7.4,280,4,4,69,1320,22200,0.24,0.58
san-mateo,San Mateo Downtown,37.5635,-122.3256,72,196,4,86,1.0,0.78,10.4,240,4,5,70,1260,27600,0.38,0.72
redwood-city,Redwood City,37.4865,-122.2295,66,182,4,82,1.5,0.68,8.6,230,4,3,72,1160,24600,0.35,0.68
palo-alto,Palo Alto,37.4443,-122.1498,58,161,3,79,0.9,0.71,9.8,250,4,3,77,890,23800,0.24,0.65
mountain-view,Mountain View,37.3865,-122.0838,54,148,3,84,0.8,0.8,10.2,280,3,4,73,1100,25100,0.31,0.7
sunnyvale,Sunnyvale,37.3743,-122.0309,51,142,3,83,0.7,0.82,10.9,290,3,4,75,980,27400,0.34,0.72
santa-clara,Santa Clara,37.3532,-121.9413,49,137,3,87,0.6,0.86,11.2,320,3,5,74,1040,29700,0.4,0.76
sj-downtown,San Jose Downtown,37.3337,-121.8872,47,132,3,90,0.5,0.92,11.7,360,2,7,73,1360,28600,0.44,0.8
sj-berryessa,San Jose Berryessa,37.3863,-121.8767,45,127,3,81,1.1,0.63,8.5,300,3,4,72,1450,22700,0.37,0.7
sj-evergreen,San Jose Evergreen,37.3092,-121.7952,43,121,2,74,2.7,0.46,6.7,340,2,2,76,980,18400,0.2,0.55
fremont,Fremont,37.5481,-121.9886,53,149,3,80,0.9,0.76,9.7,300,3,4,70,1600,26400,0.43,0.72
hayward,Hayward,37.6704,-122.0864,63,174,4,82,1.3,0.74,9.4,310,3,5,61,2220,25100,0.5,0.7
milpitas,Milpitas,37.4320,-121.9041,48,136,3,86,0.7,0.84,10.8,330,2,5,71,1240,30300,0.52,0.78
walnut-creek,Walnut Creek,37.9064,-122.0668,69,188,4,76,2.4,0.52,7.2,270,4,3,72,1120,21400,0.28,0.62
richmond,Richmond,37.9355,-122.3469,84,229,5,80,0.8,0.83,10.9,340,3,7,55,2860,23800,0.53,0.68
alameda,Alameda,37.7652,-122.2416,81,219,5,84,0.4,0.9,12.2,380,2,8,66,1680,20200,0.35,0.62
