service_request_id,service_request_type,status,requested_datetime,closed_datetime,address,latitude,longitude
SJ311-2024-0124-1001,Pothole,Closed,2024-01-24T09:42:00-08:00,2024-01-28T15:20:00-08:00,S 2nd St & E San Carlos St,37.333721,-121.887219
SJ311-2024-0217-1015,Pothole,Open,2024-02-17T11:09:00-08:00,,S 3rd St & E San Fernando St,37.334901,-121.884804
SJ311-2024-0312-1188,Pothole,Closed,2024-03-12T08:31:00-07:00,2024-03-18T13:11:00-07:00,The Alameda & Race St,37.332725,-121.912992
SJ311-2024-0628-1307,Pothole,Closed,2024-06-28T16:14:00-07:00,2024-07-02T10:45:00-07:00,Meridian Ave & Willow St,37.308141,-121.913805
SJ311-2025-0109-1420,Pothole,Open,2025-01-09T07:28:00-08:00,,N 10th St & Jackson St,37.353241,-121.887351
SJ311-2025-0221-1551,Pothole,Closed,2025-02-21T14:35:00-08:00,2025-02-27T09:30:00-08:00,Berryessa Rd & Lundy Ave,37.386297,-121.876719
SJ311-2025-0317-1710,Pothole,Open,2025-03-17T12:11:00-07:00,,Aborn Rd & White Rd,37.309159,-121.795157
SJ311-2025-0816-1814,Pothole,Closed,2025-08-16T17:05:00-07:00,2025-08-22T08:11:00-07:00,Winchester Blvd & Stevens Creek Blvd,37.322725,-121.950484
SJ311-2026-0115-1909,Pothole,Open,2026-01-15T15:44:00-08:00,,Camden Ave & Union Ave,37.260384,-121.929738
SJ311-2026-0205-2013,Pothole,Open,2026-02-05T10:13:00-08:00,,S 2nd St & E San Carlos St,37.333981,-121.887102
SJ311-2026-0318-2116,Pothole,Closed,2026-03-18T09:51:00-07:00,2026-03-23T15:49:00-07:00,Meridian Ave & Willow St,37.307984,-121.913411
SJ311-2026-0419-2204,Pothole,Open,2026-04-19T13:11:00-07:00,,Berryessa Rd & Lundy Ave,37.386490,-121.876210
